"Username","Date","Rating","Comment","Link"
"Sense Islam",5/29/2018 1:30:30 PM,"none","Please Pray For Brother Ali Banat, May Allah (swt) Grant Him The Highest Rank In Paradise.. Aameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugzzuf8s2VJpL1OkW1Z4AaABAg"
"Khan",6/14/2018 12:46:10 PM,"none","May allah grant him the highest rank in jannah.ameen💜","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugxi_W4G0eUChcs50FF4AaABAg"
"Aspak Khan",6/13/2018 7:27:56 PM,"none","Allah blassed u and I hope u will get a place in jannah Ameen Ameen.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzAKq_LbBULLD3WEVN4AaABAg"
"Rhona Parker",6/13/2018 12:21:07 PM,"none","There isn't many saint like him ,who thought  about poor.Bless him straight  gone to heaven xx","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzJ_ushJqy9gVIV-P54AaABAg"
"Son of Adam",6/13/2018 2:05:38 AM,"none","Plz donate to Ali Banat's project, even if it just a $1.  Here is the link to his website...

https://matwproject.org","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugw1ybfmQVgyAi_V38B4AaABAg"
"Mir Inabat",6/12/2018 11:34:55 PM,"none","Great","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxlFzyMSUJp3XETAvd4AaABAg"
"Dosso Cheick Adam's",6/12/2018 6:23:25 PM,"none","Que son âme repose en paix qu'Allah lui garde a ces côtés","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwI-rdydLkEwT7lP0R4AaABAg"
"Neka Nostalgia",6/12/2018 5:29:06 PM,"none","❤❤❤🖖🏾","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzU--So0-qcpUe4DTl4AaABAg"
"sidkhan khan",6/12/2018 6:45:21 AM,"none","SubhanAllah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzRYEN0Vvwf3wNfGhd4AaABAg"
"lisa morgan",6/12/2018 5:07:44 AM,"none","May his soul RIP","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyMM_2BPXWbwVg0M-x4AaABAg"
"Sheikh Chilli",6/11/2018 5:45:12 PM,"none","May Allah grant him and all of us JANNAT UL #FIRDOUS#","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzBfd_8y8Gy5UT-8MR4AaABAg"
"Focus Fitness",6/11/2018 7:33:02 AM,"none","He is so selfless","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzcG4BrwuSjf_5if5B4AaABAg"
"Blunted &co.",6/11/2018 3:00:24 AM,"none","much love to this guy and his REALNESS!!!!","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxAmgG2oQ0VeImDtTp4AaABAg"
"Md Altmash.s",6/10/2018 11:09:16 PM,"none","Ya Allah is bnde ko jnnatulfirdous at frma Aameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxZ_zX1SdvUJVzwa-p4AaABAg"
"Hadjer Rabahi",6/10/2018 7:57:06 PM,"none","alah yarhamak Ali and alah beatiful.place in the paradise","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugwc7Rf6ihEzEfYhTOB4AaABAg"
"al mustafa shaikh",6/10/2018 1:59:57 PM,"none","Allah pak iesy jannat tul firdous me jagha aata farmaie  .. Ameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugwv1fNoa1XGDxx8pa54AaABAg"
"Emie Alegre",6/10/2018 9:02:41 AM,"none","Yours such a good person....you donate all of your money to the African people thank you so much coz you choose that country really needed.... God bless you I salute you for being kind and generous..rest in peace 😥😥","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwMutXDqV7xjmrawIp4AaABAg"
"New Zaitoon Tv",6/10/2018 8:45:26 AM,"none","Massa Allah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwhjHmuD2uQRaX-U754AaABAg"
"Lil Mrs Sunshine!",6/10/2018 8:06:43 AM,"none","gofundme.com/5l92thk please help a deserving family in need","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyV48Elxc6k3sw7m8x4AaABAg"
"Imran Khan",6/9/2018 10:10:41 PM,"none","Bhai tujh Se Bada Hero Maine Apni 35 Sala Zindagi Me Nahin Dekha Honge Pehle Log inqaar Nahin Magar Bhai Aaj  Bhai Mere Main Likh Nahin Sakta 😔 😔","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzauDR7om3wq3z-qsh4AaABAg"
"Mariam Mohamed",6/9/2018 11:56:42 AM,"none","May Allah grant him top places of jannah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzeJfiLn3HO2APdnm94AaABAg"
"Mohammed Nasir",6/9/2018 11:23:15 AM,"none","brother your a real hero","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugz7Gjmt4CE6U8a9fnN4AaABAg"
"Ali Ali",6/9/2018 10:04:12 AM,"none","I m from India sumbudy send more Ali's vdo plz I want to see him again ND again ND again","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy6WSbgKN2yHjcwiHt4AaABAg"
