"Username","Date","Rating","Comment","Link"
"Stephen Kellogg",2/27/2017 12:07:06 AM,"none","This was PERFECT!
I was actually researching these kinds of services last week, but it's hard to know what's the best.  This convinced me unequivocally!  Thanks, Matt!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Uggx83nu_6szyHgCoAEC"
"Sujeet Kumar",6/10/2018 2:55:36 PM,"none","This video guide was very helpful. Helped me decide which one to choose. Thanks!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxGTZXBTslqxwEJdCp4AaABAg"
"Being Auntie Yaya",6/7/2018 3:42:08 PM,"none","Thank you I was considering Hello Fresh as I am single...but maybe not. Congrats to the giveaway winners","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxK23Lcp_jWQT6OD8J4AaABAg"
"crist ram",6/7/2018 4:56:17 AM,"none","I just wanted to know if blue apron delivers food not recipes to cook","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwZ5RU9Ec-B5gNqKLx4AaABAg"
"Felicia Crowe93",6/4/2018 6:35:40 PM,"none","Great channel and video. just subscribed :)
I'm just wondering how does these food box subscriptions MAKE there food before packaging. AND WHERE DO THEY GET IT. Is it all done in a restaurant or a factory. I believe its fresh but im kinda skeptical about the whole thing. how do u feel about it?","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugzlm7CJ0r8jMFBHYxJ4AaABAg"
"Jiayi Shou",6/4/2018 1:27:23 AM,"none","My Hello Fresh box is completely on the opposite. Meals are individually wrapped in paper bags. Quality and the amount of the produce is simply PATHETIC. The salmon has orange food coloring  (what kind of salmon has orange color in the juice? just gross). The tomato arrived moldy. The cucumber is tiny and soggy.... In terms of the recipe, again PATHETIC. I do way much better myself. On the contrary, Blue Apron I have ordered a couple times. Everytime I want to try new recipes, I order Blue Apron.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwyKWn1D6RrgdBzp4V4AaABAg"
"Hayley Heath",6/2/2018 5:05:47 AM,"none","Thank you for this! I had never heard of Hello Fresh and had been thinking of signing up for Blue Apron ! This really helped!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzBsH3r82g4PDO9BBB4AaABAg"
"Candy Cane Pie",6/1/2018 6:36:03 PM,"none","When I go grocery shopping I tend to overspend trying to stock up, so these recipe ingredient delivery services are awesome!  I love to cook in the evenings and try new recipes, but it’s just my daughter and I so there used to be too many leftovers, with these it’s just enough for our dinner and enough for my lunch the next day.  I LOVE getting all the healthy produce delivered to us.  

Home Chef and Terra Kitchen offer fruit and salad options, and Marley Spoon and Plated have unique recipes also. We switch off with all of these every week depending what fruit or produce we need or what meals we’re craving.  I’ve cooked over 100 new healthy recipes in the past year with these services and saved money, plus we eat healthier. Most of the packaging is recyclable. ✌🏼","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxTwe7JC-dSzXYie-54AaABAg"
"Elisha Payumo",5/28/2018 1:58:26 PM,"none","Wow these consume so much waste","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgywT5JpTOusDzyVUIl4AaABAg"
"sky 1187",5/28/2018 7:13:48 AM,"none","How much for each?","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwdBtxEFHol-snl-j94AaABAg"
"sky 1187",5/28/2018 7:12:27 AM,"none","I love cooking at night. It just feel good","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugw-Na9XovcKGesuO7F4AaABAg"
